F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
,13,0,13,0,82,82,,0,0,0,0,0,0,,,,,
,13,0,13,0,65,65,,0,0,0,0,0,0,,,,,
,11,0,11,0,58,58,,0,0,0,0,0,0,,,,,
,8,0,8,0,52,52,,1,0,0,0,0,0,,,,,
,12,0,12,0,44,44,,0,0,0,0,0,0,,,,,
,11,0,11,0,58,58,,0,0,0,0,0,0,,,,,
,10,0,10,0,42,42,,0,0,0,0,0,0,,,,,
,10,0,10,0,44,40,,40,4,0,0,0,0,,,,,
,10,0,10,1,48,46,,0,1,0,0,0,0,,,,,
,19,0,19,0,84,84,,0,0,0,0,0,0,,,,,
,16,0,16,0,64,64,,0,0,0,0,0,0,,,,,
,8,0,8,0,47,47,,45,0,0,0,0,0,,,,,
,20,0,20,0,89,87,,0,2,0,0,1,0,,,,,
,10,0,10,0,44,44,,0,0,0,0,0,0,,,,,
,13,0,13,0,63,63,,63,0,0,0,0,0,,,,,
,14,0,14,0,50,50,,0,0,0,0,0,0,,,,,
,9,0,9,0,48,48,,0,0,0,0,0,0,,,,,
,15,0,15,0,57,56,,0,1,1,0,0,0,,,,,
,9,0,9,0,42,41,,0,1,1,0,0,0,,,,,
,9,0,9,0,44,44,,0,0,0,0,0,0,,,,,
,12,1,12,0,63,61,,0,2,0,0,1,1,,,,,
,10,0,10,0,45,45,,1,0,0,0,0,0,,,,,
,18,0,18,3,74,67,,67,4,1,1,0,0,,,,,
,10,0,10,0,47,45,,0,2,1,0,1,0,,,,,
,3,0,3,0,61,61,,61,0,0,0,0,0,,,,,
,19,0,19,0,103,89,,89,14,0,0,0,0,,,,,
,7,0,7,0,74,74,,43,0,0,0,0,0,,,,,
,7,0,7,0,50,50,,0,0,0,0,0,0,,,,,
,6,0,6,0,51,51,,33,0,0,0,0,0,,,,,
,8,0,8,0,87,86,,86,1,0,0,1,0,,,,,
,6,0,6,0,50,50,,50,0,0,0,0,0,,,,,
,16,0,16,0,85,84,,0,1,1,0,0,0,,,,,
,18,0,18,0,83,83,,0,0,0,0,0,0,,,,,
,12,0,12,0,73,73,,0,0,0,0,0,0,,,,,
,14,0,14,0,61,61,,0,0,0,0,0,0,,,,,
,26,3,26,0,119,110,,0,9,0,0,0,3,,,,,
,12,1,12,0,61,56,,0,5,0,1,0,1,,,,,
,13,0,13,0,67,67,,0,0,0,0,0,0,,,,,
,9,0,9,0,44,43,,0,1,1,0,0,0,,,,,
,14,0,14,0,57,57,,0,0,0,0,0,0,,,,,
,13,0,13,0,61,59,,0,2,2,0,0,0,,,,,
,13,0,13,0,60,58,,0,2,0,0,2,0,,,,,
,22,0,22,1,105,103,,0,1,0,0,0,0,,,,,
,9,0,9,0,50,47,,0,3,3,0,0,0,,,,,
,14,0,14,0,61,61,,0,0,0,0,0,0,,,,,
,9,0,9,0,44,44,,0,0,0,0,0,0,,,,,
,10,0,10,0,56,56,,0,0,0,0,0,0,,,,,
,12,0,12,0,58,58,,0,0,0,0,0,0,,,,,
,11,0,11,0,59,59,,0,0,0,0,0,0,,,,,
,9,0,9,0,58,58,,0,0,0,0,0,0,,,,,
,10,0,10,0,60,57,,2,3,0,0,3,0,,,,,
,16,0,16,0,71,69,,1,2,0,0,2,0,,,,,
,15,0,15,2,54,52,,1,0,0,0,0,0,,,,,
,9,0,9,0,46,46,,1,0,0,0,0,0,,,,,
,12,0,12,0,59,59,,1,0,0,0,0,0,,,,,
,11,0,11,0,44,44,,1,0,0,0,0,0,,,,,
,9,0,9,0,60,38,,1,22,3,1,8,0,,,,,
,9,0,9,0,44,44,,1,0,0,0,0,0,,,,,
,8,0,8,0,45,45,,1,0,0,0,0,0,,,,,
,13,0,13,0,64,63,,2,1,1,0,0,0,,,,,
,10,0,10,0,46,45,,1,1,1,0,0,0,,,,,
,16,0,16,0,75,75,,1,0,0,0,0,0,,,,,
,11,0,11,0,43,43,,1,0,0,0,0,0,,,,,
,4,0,4,0,16,14,,1,2,0,0,0,0,,,,,
,7,1,7,0,26,24,,1,2,0,0,0,1,,,,,
,10,0,10,0,42,40,,1,2,0,0,0,0,,,,,
,16,0,16,0,77,77,,1,0,0,0,0,0,,,,,
,15,0,15,0,77,77,,1,0,0,0,0,0,,,,,
,10,0,10,0,43,43,,1,0,0,0,0,0,,,,,
,7,0,7,0,45,45,,1,0,0,0,0,0,,,,,
,11,0,11,0,70,70,,1,0,0,0,0,0,,,,,
,22,0,22,0,102,100,,3,2,0,0,2,0,,,,,
,15,0,15,1,72,71,,2,0,0,0,0,0,,,,,
,17,0,17,0,101,95,,1,6,0,1,3,0,,,,,
,22,0,22,0,119,119,,0,0,0,0,0,0,,,,,
,12,0,12,0,53,53,,1,0,0,0,0,0,,,,,
,12,1,12,0,48,44,,1,4,0,1,0,1,,,,,
,8,0,8,0,45,43,,1,2,0,0,2,0,,,,,
,4,0,4,0,53,45,,1,8,0,0,8,0,,,,,
,12,0,12,0,75,75,,2,0,0,0,0,0,,,,,
,9,0,9,0,52,46,,1,6,0,0,0,0,,,,,
,12,0,12,1,58,55,,1,2,2,0,0,0,,,,,
,14,0,14,0,76,69,,1,7,0,1,0,0,,,,,
,2,0,2,0,9,7,,1,2,0,1,0,0,,,,,
,4,0,4,0,25,25,,1,0,0,0,0,0,,,,,
,2,0,2,0,32,27,,1,5,0,0,4,0,,,,,
,10,0,10,0,48,47,,2,1,1,0,0,0,,,,,
,22,0,22,0,108,105,,3,3,2,0,1,0,,,,,
,19,0,19,0,89,87,,1,2,0,0,2,0,,,,,
,25,0,25,0,106,106,,1,0,0,0,0,0,,,,,
,13,1,13,0,64,61,,0,3,0,0,2,1,,,,,
,8,0,8,0,45,45,,0,0,0,0,0,0,,,,,
,12,0,12,1,52,49,,0,2,0,0,2,0,,,,,
,10,0,10,0,57,57,,1,0,0,0,0,0,,,,,
,10,0,10,0,43,41,,0,2,0,0,2,0,,,,,
,7,0,7,0,46,44,,1,2,0,0,2,0,,,,,
,12,0,12,0,42,42,,0,0,0,0,0,0,,,,,
,11,4,11,0,55,47,,0,8,1,1,0,4,,,,,
,14,0,14,2,52,50,,0,0,0,0,0,0,,,,,
,10,0,10,0,48,48,,0,0,0,0,0,0,,,,,
,18,0,18,3,86,81,,25,2,1,0,1,0,,,,,
,15,0,15,0,86,81,,0,5,5,0,0,0,,,,,
,16,0,16,0,110,110,,38,0,0,0,0,0,,,,,
,9,0,9,0,42,39,,0,3,0,0,0,0,,,,,
,17,0,17,0,90,90,,0,0,0,0,0,0,,,,,
,7,0,7,0,81,80,,0,1,1,0,0,0,,,,,
,7,0,7,0,45,45,,0,0,0,0,0,0,,,,,
,9,0,9,0,69,68,,40,1,0,0,1,0,,,,,
,12,0,12,0,67,67,,0,0,0,0,0,0,,,,,
,10,0,10,0,55,55,,0,0,0,0,0,0,,,,,
,17,1,17,0,72,71,,0,1,0,0,0,1,,,,,
,10,0,10,0,57,57,,0,0,0,0,0,0,,,,,
,24,1,24,1,96,94,,0,1,0,0,0,1,,,,,
,11,0,11,0,60,57,,0,3,0,1,0,0,,,,,
,8,0,8,0,71,69,,0,2,0,0,1,0,,,,,
,22,0,22,0,103,103,,0,0,0,0,0,0,,,,,
,9,0,9,0,62,61,,0,1,1,0,0,0,,,,,
,7,0,7,0,53,53,,0,0,0,0,0,0,,,,,
,10,0,10,0,61,60,,0,1,1,0,0,0,,,,,
,19,0,19,0,90,89,,0,1,1,0,0,0,,,,,
,19,0,19,0,84,84,,0,0,0,0,0,0,,,,,
,16,0,16,0,104,98,,0,6,0,0,6,0,,,,,
,13,4,13,0,57,51,,0,6,2,0,0,4,,,,,
,11,0,11,0,48,48,,0,0,0,0,0,0,,,,,
,12,0,12,0,51,51,,51,0,0,0,0,0,,,,,
,18,0,18,0,117,107,,45,10,0,0,0,0,,,,,
,15,0,15,3,73,66,,4,4,1,1,0,0,,,,,
,12,0,12,0,70,69,,69,1,1,0,0,0,,,,,
,11,1,11,0,49,45,,0,4,0,1,0,1,,,,,
,15,0,15,1,80,79,,0,0,0,0,0,0,,,,,
,9,0,9,0,48,48,,0,0,0,0,0,0,,,,,
,18,0,18,0,79,79,,1,0,0,0,0,0,,,,,
,12,0,12,0,57,56,,0,1,0,0,1,0,,,,,
,9,0,9,0,46,43,,0,3,3,0,0,0,,,,,
,9,0,9,0,43,42,,42,1,1,0,0,0,,,,,
,20,0,20,0,102,100,,0,2,0,0,2,0,,,,,
,16,1,16,0,69,67,,0,2,0,0,0,1,,,,,
,23,2,23,0,105,97,,1,8,0,1,3,2,,,,,
,12,0,12,0,62,61,,0,1,0,0,1,0,,,,,
,17,0,17,0,81,81,,0,0,0,0,0,0,,,,,
,17,0,17,0,72,69,,0,3,0,0,0,0,,,,,
,11,0,11,0,57,57,,0,0,0,0,0,0,,,,,
,13,0,13,0,55,55,,0,0,0,0,0,0,,,,,
,10,0,10,0,45,43,,1,2,0,0,2,0,,,,,
,16,0,16,0,64,64,,0,0,0,0,0,0,,,,,
,25,0,25,1,102,97,,0,4,0,1,1,0,,,,,
,29,0,29,4,113,106,,5,3,0,0,3,0,,,,,
,6,0,6,0,46,46,,0,0,0,0,0,0,,,,,
,12,0,12,2,57,46,,0,9,3,0,6,0,,,,,
,10,0,10,0,43,40,,0,3,0,0,2,0,,,,,
,14,0,14,0,45,40,,0,5,0,0,4,0,,,,,
,10,0,10,0,54,50,,50,4,0,0,2,0,,,,,
,14,0,14,0,69,68,,0,1,0,0,1,0,,,,,
,5,1,5,0,35,33,,0,2,0,0,0,1,,,,,
,6,0,6,0,51,48,,48,3,2,0,0,0,,,,,
,2,0,2,0,12,8,,0,4,2,0,0,0,,,,,
,5,1,5,0,22,20,,0,2,0,0,0,1,,,,,
,2,11,2,0,14,2,,0,12,0,0,0,11,,,,,
,9,0,9,0,37,33,,0,4,0,0,0,0,,,,,
,4,0,4,0,21,20,,1,1,0,0,0,0,,,,,
,5,0,5,0,18,18,,0,0,0,0,0,0,,,,,
,12,0,12,0,54,53,,0,1,0,0,0,0,,,,,
,15,0,15,0,126,126,,0,0,0,0,0,0,,,,,
,10,0,10,0,64,64,,0,0,0,0,0,0,,,,,
,11,0,11,2,57,54,,0,1,1,0,0,0,,,,,
,19,1,19,0,83,82,,0,1,0,0,0,1,,,,,
,19,0,19,2,75,67,,0,6,0,0,1,0,,,,,
,2,0,2,0,37,35,,33,2,0,0,0,0,,,,,
,9,0,9,0,52,52,,0,0,0,0,0,0,,,,,
,15,0,15,0,79,75,,1,4,0,1,1,0,,,,,
,14,0,14,0,73,73,,0,0,0,0,0,0,,,,,
,21,0,21,0,112,109,,0,3,2,0,1,0,,,,,
,18,1,18,0,123,122,,0,1,0,0,0,1,,,,,
,14,0,14,0,61,61,,0,0,0,0,0,0,,,,,
,12,0,12,3,53,49,,1,1,0,0,1,0,,,,,
,3,0,3,0,133,12,,0,121,0,0,121,0,,,,,
,16,0,16,0,83,83,,0,0,0,0,0,0,,,,,
,10,0,10,0,42,40,,0,2,0,0,0,0,,,,,
,13,0,13,0,60,60,,0,0,0,0,0,0,,,,,
,18,0,18,0,82,81,,0,1,1,0,0,0,,,,,
,10,0,10,0,59,55,,0,4,0,0,4,0,,,,,
,28,0,28,2,112,110,,1,0,0,0,0,0,,,,,
,15,0,15,0,57,57,,0,0,0,0,0,0,,,,,
,9,0,9,0,46,46,,0,0,0,0,0,0,,,,,
,13,0,13,0,73,72,,0,1,0,0,0,0,,,,,
,12,0,12,0,55,52,,0,3,0,0,3,0,,,,,
,15,0,15,0,61,60,,0,1,0,0,1,0,,,,,
,10,0,10,0,45,45,,0,0,0,0,0,0,,,,,
,13,0,13,0,65,65,,0,0,0,0,0,0,,,,,
,12,0,12,0,55,54,,0,1,1,0,0,0,,,,,
,10,0,10,0,41,41,,0,0,0,0,0,0,,,,,
,11,0,11,0,52,50,,0,2,0,0,2,0,,,,,
,14,0,14,0,62,62,,0,0,0,0,0,0,,,,,
,9,1,9,0,43,40,,0,3,0,0,2,1,,,,,
,20,0,20,0,119,117,,0,2,0,0,2,0,,,,,
,10,0,10,0,55,53,,0,2,0,0,2,0,,,,,
,9,0,9,0,49,47,,0,2,0,0,2,0,,,,,
,8,0,8,0,59,59,,0,0,0,0,0,0,,,,,
,15,1,15,0,67,64,,1,3,2,0,0,1,,,,,
,10,0,10,0,62,62,,0,0,0,0,0,0,,,,,
